query_file;found;search_result;search_distances
000000.txt;False;025618.txt,026213.txt,010692.txt,013558.txt,022999.txt,019909.txt,015903.txt,021852.txt,028951.txt,010580.txt;0.45145318,0.50082946,0.52942115,0.5298209,0.5308616,0.5323155,0.533621,0.5367642,0.53971887,0.5417586
000001.txt;True;000001.txt,008845.txt,020585.txt,022485.txt,008870.txt,028392.txt,022615.txt,015624.txt,004152.txt,006425.txt;0.4348231,0.50881046,0.52048266,0.52559066,0.52882075,0.5393303,0.5429137,0.54399437,0.54530525,0.5587437
