query_file;found;search_result;search_distances
000000.txt;False;024799.txt,011571.txt,022097.txt,019746.txt,003746.txt,002136.txt,026806.txt,027304.txt,013269.txt,012377.txt;0.10656378,0.10886782,0.11283155,0.11659789,0.11663267,0.118935116,0.119551465,0.119846895,0.120317474,0.12047213
000001.txt;True;000001.txt,000953.txt,025107.txt,008154.txt,020109.txt,022421.txt,024960.txt,020608.txt,023714.txt,023402.txt;0.0,0.1282201,0.16416568,0.17194271,0.17625809,0.17834339,0.17899984,0.18161622,0.18241446,0.1826427
