query_file;found;search_result;search_distances
000000.txt;True;007740.txt,026588.txt,000647.txt,000000.txt,022295.txt,010328.txt,030275.txt,021587.txt,025618.txt,021392.txt;0.46711203,0.46834624,0.47842157,0.48971254,0.49746355,0.49860623,0.5017494,0.5105895,0.5138837,0.5153261
000001.txt;True;000001.txt,008873.txt,019966.txt,004124.txt,008687.txt,001709.txt,028740.txt,027449.txt,019114.txt,028922.txt;0.61916095,0.6431924,0.64683676,0.65416765,0.6625299,0.67014956,0.6756482,0.6853901,0.68812037,0.68876183
